order_id,client_id,measurement_id,artisan_id,garment_type,fabric_type,order_complexity_score,order_status,order_date,delivery_date,delivery_days,delivered_on_time,client_age,client_location,client_gender,chest_cm,waist_cm,hip_cm,shoulder_cm,arm_length_cm,inseam_cm,recorded_at,artisan_location,years_experience,average_rating,specialty
30,2,3,77,Dress,Wool,4.56,Completed,2025-03-07 06:40:38.423385,2025-03-19 06:40:38.423385,12,1,25,Kano,Female,115.59,93.52,125.13,48.9,63.9,78.87,2023-12-07 06:40:38.392246,Abuja,9,4.11,Menswear
31,211,415,30,Agbada,Ankara,4.9,Pending,2025-06-17 06:40:38.423798,2025-07-02 06:40:38.423798,15,0,48,Port Harcourt,Female,84.82,64.51,99.64,41.81,53.65,86.38,2024-02-08 06:40:38.400542,Lagos,3,4.7,Kidswear
32,204,400,39,Shirt,Cotton,1.56,Pending,2025-06-15 06:40:38.424251,2025-07-06 06:40:38.424251,21,0,33,Lagos,Female,97.33,108.44,104.81,40.65,58.96,79.8,2025-10-01 06:40:38.400263,Abuja,3,3.67,Corporate
33,156,307,32,Kaftan,Wool,4.2,Completed,2025-07-30 06:40:38.424688,2025-08-05 06:40:38.424688,6,1,27,Abuja,Female,118.52,69.62,81.06,42.57,57.92,73.43,2025-05-02 06:40:38.398263,Abuja,1,4.36,Bridal
34,191,370,23,Suit,Wool,1.35,In Progress,2025-05-26 06:40:38.429234,2025-05-30 06:40:38.429234,4,1,19,Port Harcourt,Female,109.35,107.08,100.43,37.68,64.57,67.17,2023-10-31 06:40:38.399632,Abuja,5,4.55,Kidswear
35,119,234,88,Agbada,Ankara,1.94,Pending,2025-11-07 06:40:38.429890,2025-11-24 06:40:38.429890,17,0,22,Ibadan,Male,89.69,89.88,114.16,40.62,70.05,80.36,2023-06-10 06:40:38.396873,Abuja,6,3.52,Bridal
36,221,436,14,Kaftan,Silk,1.48,Pending,2026-02-08 06:40:38.430410,2026-02-17 06:40:38.430410,9,1,59,Ibadan,Male,112.92,100.0,84.94,42.49,69.93,94.3,2024-08-03 06:40:38.400938,Kano,7,4.17,Corporate
37,92,180,63,Agbada,Wool,3.99,Completed,2025-10-07 06:40:38.430907,2025-10-10 06:40:38.430907,3,1,28,Ibadan,Female,96.65,73.96,123.5,45.9,58.13,79.8,2023-07-08 06:40:38.395853,Ibadan,10,3.6,Corporate
38,160,312,61,Agbada,Wool,3.35,Completed,2025-02-19 06:40:38.431364,2025-03-08 06:40:38.431364,17,0,53,Ibadan,Male,82.43,106.07,117.92,41.58,69.17,71.22,2024-07-11 06:40:38.398364,Lagos,1,4.67,Menswear
39,2,4,112,Agbada,Cotton,2.99,In Progress,2025-12-07 06:40:38.431802,2025-12-15 06:40:38.431802,8,1,25,Kano,Female,82.65,68.96,111.98,43.79,70.66,70.13,2024-06-02 06:40:38.392262,Ibadan,15,4.82,Menswear
40,106,208,57,Suit,Linen,4.77,In Progress,2025-08-10 06:40:38.432238,2025-08-23 06:40:38.432238,13,1,54,Lagos,Female,91.97,82.43,124.06,38.43,71.29,86.89,2023-07-26 06:40:38.396377,Kano,12,3.89,Kidswear
41,99,195,80,Suit,Linen,3.67,In Progress,2025-09-26 06:40:38.432678,2025-10-03 06:40:38.432678,7,1,42,Ibadan,Male,95.37,63.6,127.74,48.73,62.31,79.14,2023-10-21 06:40:38.396140,Kano,16,3.56,Bridal
42,10,18,75,Shirt,Silk,1.57,In Progress,2025-11-24 06:40:38.433200,2025-12-05 06:40:38.433200,11,1,48,Ibadan,Male,92.81,84.41,121.97,49.66,56.85,65.92,2023-06-17 06:40:38.392561,Lagos,6,4.61,Kidswear
43,226,443,87,Shirt,Silk,3.46,In Progress,2026-01-25 06:40:38.433659,2026-02-04 06:40:38.433659,10,1,46,Kano,Male,112.31,106.82,105.18,37.65,51.53,85.34,2023-11-03 06:40:38.401070,Port Harcourt,11,4.7,Bridal
44,13,23,91,Agbada,Wool,1.12,Completed,2025-07-16 06:40:38.434117,2025-08-04 06:40:38.434117,19,0,48,Kano,Male,115.05,74.08,121.47,43.36,69.79,89.29,2024-10-21 06:40:38.392671,Kano,18,4.43,Corporate
45,8,15,32,Dress,Silk,2.6,Completed,2025-06-10 06:40:38.434542,2025-06-21 06:40:38.434542,11,1,42,Lagos,Female,100.8,75.24,88.22,38.93,69.05,90.72,2024-04-22 06:40:38.392478,Abuja,1,4.36,Bridal
46,133,262,71,Agbada,Wool,4.13,Pending,2025-09-27 06:40:38.434951,2025-10-18 06:40:38.434951,21,0,26,Abuja,Female,103.66,71.35,121.54,41.26,52.76,79.34,2025-04-06 06:40:38.397426,Kano,9,3.75,Womenswear
47,153,302,15,Shirt,Linen,2.14,Completed,2025-03-14 06:40:38.435388,2025-04-04 06:40:38.435388,21,0,39,Kano,Female,98.13,74.68,114.78,45.0,68.51,86.03,2025-11-25 06:40:38.398173,Port Harcourt,16,4.38,Corporate
48,47,92,6,Suit,Linen,3.74,In Progress,2025-08-08 06:40:38.435847,2025-08-19 06:40:38.435847,11,1,28,Kano,Female,93.76,70.21,80.66,50.57,51.61,65.78,2024-11-02 06:40:38.393936,Kano,6,4.52,Corporate
49,48,93,4,Agbada,Linen,1.54,Completed,2025-09-23 06:40:38.436298,2025-10-11 06:40:38.436298,18,0,27,Lagos,Male,89.59,104.83,82.94,39.9,71.37,75.92,2025-09-18 06:40:38.393968,Kano,12,4.84,Corporate
50,87,171,27,Suit,Silk,4.93,Completed,2025-03-30 06:40:38.436814,2025-04-20 06:40:38.436814,21,0,26,Port Harcourt,Female,101.74,97.93,127.29,42.03,73.43,75.34,2025-10-19 06:40:38.395592,Port Harcourt,3,4.97,Corporate
51,39,75,51,Dress,Cotton,1.7,In Progress,2025-02-26 06:40:38.437246,2025-03-14 06:40:38.437246,16,0,34,Kano,Female,95.67,66.85,99.23,38.53,70.47,88.59,2024-06-21 06:40:38.393606,Abuja,9,4.94,Corporate
52,221,436,108,Agbada,Cotton,4.65,Completed,2025-09-01 06:40:38.437714,2025-09-06 06:40:38.437714,5,1,59,Ibadan,Male,112.92,100.0,84.94,42.49,69.93,94.3,2024-08-03 06:40:38.400938,Lagos,19,4.74,Bridal
53,198,386,41,Agbada,Cotton,2.87,In Progress,2025-05-24 06:40:38.438127,2025-05-27 06:40:38.438127,3,1,22,Kano,Male,96.7,84.03,117.1,52.76,74.6,94.81,2025-03-31 06:40:38.399938,Port Harcourt,17,4.84,Menswear
54,63,122,66,Agbada,Cotton,3.23,Completed,2025-12-14 06:40:38.438558,2025-12-28 06:40:38.438558,14,1,44,Lagos,Male,117.37,72.67,81.34,39.28,66.54,69.82,2024-10-12 06:40:38.394660,Ibadan,12,4.39,Kidswear
55,122,239,35,Suit,Silk,1.68,In Progress,2025-12-09 06:40:38.439021,2025-12-29 06:40:38.439021,20,0,41,Abuja,Female,91.66,91.34,98.15,46.44,59.08,84.87,2024-10-22 06:40:38.396983,Abuja,12,3.51,Bridal
56,211,416,81,Suit,Linen,3.68,Pending,2025-05-04 06:40:38.439426,2025-05-08 06:40:38.439426,4,1,48,Port Harcourt,Female,96.18,98.6,97.64,46.25,50.5,67.67,2024-04-04 06:40:38.400560,Abuja,4,3.84,Bridal
57,10,17,78,Suit,Silk,4.78,Pending,2026-02-05 06:40:38.439898,2026-02-24 06:40:38.439898,19,0,48,Ibadan,Male,114.01,84.43,125.18,36.02,57.41,90.82,2025-03-05 06:40:38.392532,Ibadan,2,3.64,Menswear
58,42,80,6,Dress,Linen,1.68,Completed,2025-04-22 06:40:38.440333,2025-04-27 06:40:38.440333,5,1,27,Abuja,Female,101.93,101.95,84.29,44.89,68.71,74.1,2025-02-16 06:40:38.393723,Kano,6,4.52,Corporate
59,124,245,40,Suit,Ankara,1.17,In Progress,2025-09-24 06:40:38.440775,2025-10-08 06:40:38.440775,14,1,58,Port Harcourt,Female,113.62,82.78,123.02,46.61,58.91,67.56,2023-06-22 06:40:38.397086,Kano,5,4.75,Corporate
60,233,455,16,Kaftan,Linen,2.92,Pending,2025-05-15 06:40:38.441219,2025-06-05 06:40:38.441219,21,0,31,Port Harcourt,Male,107.96,106.51,85.5,51.54,74.13,70.08,2025-11-06 06:40:38.401357,Port Harcourt,12,3.65,Womenswear
61,3,5,105,Kaftan,Ankara,2.98,In Progress,2025-09-22 06:40:38.441624,2025-09-28 06:40:38.441624,6,1,33,Lagos,Male,118.69,89.41,116.2,36.16,68.22,84.01,2025-03-11 06:40:38.392283,Lagos,4,3.83,Menswear
62,108,213,31,Suit,Cotton,4.6,Pending,2025-11-24 06:40:38.442080,2025-12-06 06:40:38.442080,12,1,27,Abuja,Female,81.37,83.33,120.34,48.54,60.77,74.09,2023-12-26 06:40:38.396464,Port Harcourt,15,3.75,Womenswear
63,54,105,117,Suit,Wool,4.13,In Progress,2025-09-04 06:40:38.442483,2025-09-22 06:40:38.442483,18,0,41,Port Harcourt,Male,88.8,96.22,108.58,35.23,62.63,78.91,2024-11-24 06:40:38.394328,Port Harcourt,10,4.82,Menswear
64,166,322,24,Dress,Silk,3.41,Pending,2025-10-15 06:40:38.442958,2025-10-25 06:40:38.442958,10,1,18,Port Harcourt,Male,84.31,102.28,88.4,43.36,54.05,82.01,2025-04-19 06:40:38.398541,Abuja,3,3.97,Corporate
65,143,283,50,Shirt,Ankara,1.19,Completed,2025-02-19 06:40:38.443402,2025-03-10 06:40:38.443402,19,0,46,Abuja,Female,98.72,94.95,117.3,36.51,70.23,73.09,2023-07-03 06:40:38.397794,Abuja,19,4.76,Kidswear
66,94,186,76,Agbada,Linen,1.59,Pending,2025-12-10 06:40:38.443803,2025-12-13 06:40:38.443803,3,1,38,Lagos,Male,114.54,103.04,107.46,54.08,67.53,69.51,2025-02-18 06:40:38.395980,Abuja,10,4.99,Corporate
67,283,562,1,Kaftan,Silk,1.62,In Progress,2025-07-26 06:40:38.444306,2025-08-01 06:40:38.444306,6,1,29,Ibadan,Male,112.4,100.43,115.1,41.96,74.2,86.6,2025-03-27 06:40:38.403438,Kano,16,4.34,Kidswear
68,89,174,101,Suit,Cotton,1.74,Pending,2025-06-08 06:40:38.444720,2025-06-27 06:40:38.444720,19,0,30,Port Harcourt,Male,101.24,73.91,116.52,54.39,69.3,83.38,2024-01-26 06:40:38.395664,Ibadan,15,4.88,Womenswear
69,166,322,89,Suit,Silk,1.56,Completed,2025-09-25 06:40:38.445195,2025-10-04 06:40:38.445195,9,1,18,Port Harcourt,Male,84.31,102.28,88.4,43.36,54.05,82.01,2025-04-19 06:40:38.398541,Lagos,12,4.67,Corporate
70,99,194,64,Agbada,Wool,3.76,In Progress,2025-06-10 06:40:38.445615,2025-06-15 06:40:38.445615,5,1,42,Ibadan,Male,89.83,97.85,128.36,39.66,54.96,88.37,2023-06-29 06:40:38.396125,Abuja,16,4.9,Corporate
71,243,477,57,Suit,Linen,4.74,In Progress,2025-12-07 06:40:38.446003,2025-12-25 06:40:38.446003,18,0,41,Port Harcourt,Male,105.0,65.35,87.85,36.46,73.24,75.55,2024-01-22 06:40:38.401761,Kano,12,3.89,Kidswear
72,172,330,50,Kaftan,Linen,1.53,Completed,2025-09-14 06:40:38.446464,2025-09-25 06:40:38.446464,11,1,59,Abuja,Male,93.66,71.55,126.58,42.75,57.61,83.84,2023-10-20 06:40:38.398692,Abuja,19,4.76,Kidswear
73,45,88,85,Shirt,Wool,1.9,Completed,2025-08-09 06:40:38.446873,2025-08-30 06:40:38.446873,21,0,30,Lagos,Male,109.15,108.37,120.61,36.54,63.6,92.84,2023-07-24 06:40:38.393859,Lagos,16,4.63,Womenswear
74,241,472,75,Dress,Silk,4.65,Pending,2025-09-01 06:40:38.447326,2025-09-20 06:40:38.447326,19,0,25,Abuja,Male,80.66,103.54,83.23,45.09,74.17,89.24,2024-05-27 06:40:38.401671,Lagos,6,4.61,Kidswear
75,127,250,54,Shirt,Wool,4.59,In Progress,2025-11-01 06:40:38.447732,2025-11-08 06:40:38.447732,7,1,19,Abuja,Female,112.34,67.63,103.98,52.46,51.19,71.27,2024-09-06 06:40:38.397209,Ibadan,7,3.97,Womenswear
76,141,281,21,Kaftan,Cotton,3.8,Pending,2025-12-08 06:40:38.448118,2025-12-11 06:40:38.448118,3,1,42,Lagos,Female,110.32,94.42,109.89,41.05,74.29,85.56,2025-12-14 06:40:38.397756,Lagos,18,4.11,Corporate
77,120,237,57,Dress,Ankara,3.83,Completed,2025-03-07 06:40:38.448595,2025-03-27 06:40:38.448595,20,0,38,Ibadan,Female,103.69,76.3,92.47,41.98,53.74,78.56,2025-10-27 06:40:38.396941,Kano,12,3.89,Kidswear
78,238,465,47,Shirt,Wool,1.46,In Progress,2025-11-16 06:40:38.449013,2025-11-30 06:40:38.449013,14,1,44,Lagos,Female,91.57,106.96,109.31,42.25,56.32,80.52,2024-10-18 06:40:38.401550,Abuja,1,4.73,Kidswear
79,151,296,116,Agbada,Wool,3.77,In Progress,2025-06-23 06:40:38.449465,2025-07-14 06:40:38.449465,21,0,41,Kano,Male,113.37,106.64,123.95,44.35,51.08,88.07,2025-10-16 06:40:38.398037,Kano,1,4.81,Corporate
80,3,5,107,Agbada,Ankara,3.13,Completed,2025-11-10 06:40:38.449871,2025-11-30 06:40:38.449871,20,0,33,Lagos,Male,118.69,89.41,116.2,36.16,68.22,84.01,2025-03-11 06:40:38.392283,Abuja,9,3.66,Kidswear
81,7,13,109,Kaftan,Linen,1.59,Pending,2025-12-08 06:40:38.450292,2025-12-18 06:40:38.450292,10,1,48,Lagos,Male,86.61,104.57,109.46,48.83,69.86,75.73,2025-02-27 06:40:38.392442,Abuja,15,4.78,Womenswear
82,46,91,25,Dress,Linen,4.04,In Progress,2025-09-27 06:40:38.450761,2025-10-06 06:40:38.450761,9,1,50,Lagos,Female,80.47,105.99,108.88,46.24,58.85,82.18,2024-11-23 06:40:38.393910,Abuja,16,4.54,Kidswear
83,6,11,71,Agbada,Linen,3.38,Completed,2025-08-13 06:40:38.451153,2025-08-21 06:40:38.451153,8,1,53,Kano,Female,113.84,75.99,118.57,48.46,67.41,68.8,2025-04-11 06:40:38.392408,Kano,9,3.75,Womenswear
84,224,440,47,Agbada,Linen,4.48,In Progress,2025-12-18 06:40:38.451582,2025-12-27 06:40:38.451582,9,1,50,Kano,Male,87.09,84.2,104.73,36.95,51.65,74.83,2024-10-20 06:40:38.401017,Abuja,1,4.73,Kidswear
85,259,517,31,Agbada,Silk,2.22,In Progress,2025-09-02 06:40:38.452013,2025-09-05 06:40:38.452013,3,1,35,Port Harcourt,Female,92.26,80.16,98.57,42.04,65.24,84.6,2024-05-04 06:40:38.402558,Port Harcourt,15,3.75,Womenswear
86,276,548,31,Shirt,Wool,4.88,In Progress,2025-07-21 06:40:38.452413,2025-08-07 06:40:38.452413,17,0,18,Port Harcourt,Male,104.12,85.95,114.74,41.36,62.71,72.48,2023-08-29 06:40:38.403180,Port Harcourt,15,3.75,Womenswear
87,125,246,115,Suit,Wool,2.59,Completed,2026-01-14 06:40:38.452833,2026-01-29 06:40:38.452833,15,0,48,Port Harcourt,Female,90.46,98.91,117.14,42.21,55.21,76.25,2023-08-27 06:40:38.397105,Port Harcourt,19,3.91,Bridal
88,295,589,91,Suit,Cotton,3.11,Completed,2025-02-24 06:40:38.453288,2025-03-17 06:40:38.453288,21,0,45,Abuja,Male,84.42,107.16,81.98,50.38,50.53,65.38,2024-12-10 06:40:38.403932,Kano,18,4.43,Corporate
89,251,497,23,Agbada,Linen,4.81,In Progress,2025-03-24 06:40:38.453701,2025-03-28 06:40:38.453701,4,1,46,Abuja,Female,113.04,90.32,112.53,50.05,69.0,92.37,2025-04-18 06:40:38.402184,Abuja,5,4.55,Kidswear
90,256,509,54,Kaftan,Silk,3.83,In Progress,2025-12-25 06:40:38.454151,2025-12-30 06:40:38.454151,5,1,59,Ibadan,Female,96.78,103.96,85.97,47.21,69.84,93.53,2023-08-13 06:40:38.402415,Ibadan,7,3.97,Womenswear
91,249,491,71,Shirt,Linen,4.87,Pending,2025-04-03 06:40:38.454572,2025-04-11 06:40:38.454572,8,1,33,Ibadan,Female,93.41,65.02,110.36,48.33,74.44,70.83,2024-04-27 06:40:38.402073,Kano,9,3.75,Womenswear
92,280,553,102,Shirt,Linen,3.51,In Progress,2025-07-19 06:40:38.455012,2025-08-09 06:40:38.455012,21,0,31,Abuja,Male,107.88,60.6,85.28,39.73,58.74,67.31,2024-01-15 06:40:38.403277,Abuja,13,4.74,Corporate
93,214,423,104,Dress,Cotton,3.52,In Progress,2025-05-05 06:40:38.455405,2025-05-25 06:40:38.455405,20,0,38,Ibadan,Male,95.13,106.96,124.3,46.86,74.86,68.0,2023-06-16 06:40:38.400683,Lagos,17,4.01,Bridal
94,121,238,50,Kaftan,Silk,1.51,Pending,2025-07-01 06:40:38.455791,2025-07-08 06:40:38.455791,7,1,45,Ibadan,Female,105.92,101.33,103.72,52.36,71.19,81.84,2023-08-21 06:40:38.396963,Abuja,19,4.76,Kidswear
95,91,178,71,Shirt,Ankara,2.3,In Progress,2025-06-12 06:40:38.456238,2025-07-01 06:40:38.456238,19,0,38,Kano,Female,84.39,78.82,109.18,36.59,52.29,76.21,2024-08-21 06:40:38.395787,Kano,9,3.75,Womenswear
96,60,115,21,Kaftan,Wool,2.67,In Progress,2025-12-14 06:40:38.456624,2025-12-21 06:40:38.456624,7,1,28,Kano,Male,116.57,66.06,109.76,43.27,69.08,71.54,2024-02-29 06:40:38.394540,Lagos,18,4.11,Corporate
97,167,323,98,Dress,Wool,1.67,Completed,2025-12-12 06:40:38.457044,2025-12-19 06:40:38.457044,7,1,37,Ibadan,Male,113.87,101.95,93.62,49.15,60.96,71.31,2025-01-30 06:40:38.398560,Lagos,17,4.54,Menswear
98,275,546,13,Suit,Silk,2.23,In Progress,2025-08-11 06:40:38.457473,2025-08-16 06:40:38.457473,5,1,28,Lagos,Female,115.71,86.68,118.5,41.83,68.27,67.14,2025-02-25 06:40:38.403145,Ibadan,11,4.75,Corporate
99,193,375,104,Suit,Wool,4.7,Pending,2025-04-26 06:40:38.457863,2025-05-10 06:40:38.457863,14,1,51,Abuja,Female,102.18,87.38,81.45,47.75,64.01,80.24,2023-11-09 06:40:38.399721,Lagos,17,4.01,Bridal
100,230,451,48,Kaftan,Silk,2.26,Completed,2025-08-16 06:40:38.458295,2025-09-01 06:40:38.458295,16,0,41,Port Harcourt,Female,114.86,70.77,108.74,43.13,57.94,92.2,2023-09-26 06:40:38.401248,Abuja,15,4.01,Kidswear
101,273,540,5,Dress,Silk,3.6,Completed,2025-04-06 06:40:38.458702,2025-04-14 06:40:38.458702,8,1,59,Ibadan,Female,110.8,69.73,114.03,42.76,68.14,89.64,2024-11-02 06:40:38.403004,Lagos,17,3.83,Menswear
102,15,29,72,Dress,Linen,1.49,Completed,2025-03-06 06:40:38.459115,2025-03-09 06:40:38.459115,3,1,21,Lagos,Female,88.12,100.23,120.4,36.28,74.15,83.03,2024-02-02 06:40:38.392773,Kano,11,4.97,Corporate
103,19,37,45,Suit,Silk,1.63,In Progress,2025-06-10 06:40:38.459552,2025-06-23 06:40:38.459552,13,1,53,Lagos,Female,119.11,89.82,102.14,39.3,70.89,79.14,2023-07-01 06:40:38.392917,Lagos,12,4.86,Womenswear
104,204,400,99,Kaftan,Silk,2.72,Completed,2025-05-27 06:40:38.459962,2025-06-15 06:40:38.459962,19,0,33,Lagos,Female,97.33,108.44,104.81,40.65,58.96,79.8,2025-10-01 06:40:38.400263,Kano,5,3.55,Womenswear
105,115,226,94,Agbada,Ankara,2.33,In Progress,2025-03-14 06:40:38.460434,2025-03-17 06:40:38.460434,3,1,25,Lagos,Male,111.74,90.08,100.45,41.66,68.45,74.74,2023-12-16 06:40:38.396695,Ibadan,5,3.52,Menswear
106,56,109,2,Shirt,Cotton,1.44,Pending,2025-08-27 06:40:38.460833,2025-09-17 06:40:38.460833,21,0,54,Ibadan,Male,112.05,106.0,123.69,36.65,62.79,67.66,2025-08-09 06:40:38.394401,Lagos,13,3.91,Kidswear
